harness,task,model,run,capability_mode,telemetry_trust,tool_set,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
raw_api,data-bug1-sales-genre,minimax/minimax-m3,1,single_shot,exact,,True,True,470,260,0.0005,1,legacy raw_api row; one OpenRouter request,9.7,results\data-bug1-sales-genre__minimax_minimax-m3__r1,results\data-bug1-sales-genre__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,data-bug1-sales-genre,minimax/minimax-m3,2,single_shot,exact,,True,True,470,305,0.0005,1,legacy raw_api row; one OpenRouter request,8.3,results\data-bug1-sales-genre__minimax_minimax-m3__r2,results\data-bug1-sales-genre__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,data-bug1-sales-genre,minimax/minimax-m3,3,single_shot,exact,,True,True,470,428,0.0007,1,legacy raw_api row; one OpenRouter request,15.2,results\data-bug1-sales-genre__minimax_minimax-m3__r3,results\data-bug1-sales-genre__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,data-bug1-sales-genre,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,312,324,0.0001,1,legacy raw_api row; one OpenRouter request,3.9,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r1,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,data-bug1-sales-genre,deepseek/deepseek-v4-flash,2,single_shot,exact,,True,True,312,176,0.0001,1,legacy raw_api row; one OpenRouter request,7.7,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r2,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,data-bug1-sales-genre,deepseek/deepseek-v4-flash,3,single_shot,exact,,True,True,312,176,0.0001,1,legacy raw_api row; one OpenRouter request,10.7,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r3,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,data-bug1-sales-genre,z-ai/glm-4.7,1,single_shot,exact,,True,True,298,1059,0.002,1,legacy raw_api row; one OpenRouter request,52.2,results\data-bug1-sales-genre__z-ai_glm-4.7__r1,results\data-bug1-sales-genre__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,data-bug1-sales-genre,z-ai/glm-4.7,2,single_shot,exact,,True,True,298,972,0.0018,1,legacy raw_api row; one OpenRouter request,44.5,results\data-bug1-sales-genre__z-ai_glm-4.7__r2,results\data-bug1-sales-genre__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,data-bug1-sales-genre,z-ai/glm-4.7,3,single_shot,exact,,True,True,298,968,0.0018,1,legacy raw_api row; one OpenRouter request,48.1,results\data-bug1-sales-genre__z-ai_glm-4.7__r3,results\data-bug1-sales-genre__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,data-feat1-customer-ranking,minimax/minimax-m3,1,single_shot,exact,,True,True,547,612,0.0009,1,legacy raw_api row; one OpenRouter request,10.4,results\data-feat1-customer-ranking__minimax_minimax-m3__r1,results\data-feat1-customer-ranking__minimax_minimax-m3__r1/_raw_response.txt,
